date,source,server,low,q1,md,q3,high
2025-08-06,op-de8a,onion,60,160,220,300,510
2025-08-06,op-de8a-conflux,onion,70,180,250,350,600
2025-08-06,op-hk8a,onion,410,640,700,810,1030
2025-08-06,op-hk8a-conflux,onion,430,580,670,780,1080
2025-08-06,op-us8a,onion,230,320,370,480,710
2025-08-06,op-us8a-conflux,onion,230,310,350,450,660
2025-08-07,op-de8a,onion,70,170,205,280,440
2025-08-07,op-de8a-conflux,onion,70,160,210,300,510
2025-08-07,op-hk8a,onion,440,580,670,770,1040
2025-08-07,op-hk8a-conflux,onion,440,600,680,800,1100
2025-08-07,op-us8a,onion,230,340,440,520,790
2025-08-07,op-us8a-conflux,onion,230,310,360,470,710
2025-08-08,op-de8a,onion,80,150,200,260,420
2025-08-08,op-de8a-conflux,onion,80,160,210,300,500
2025-08-08,op-hk8a,onion,430,610,700,820,1110
2025-08-08,op-hk8a-conflux,onion,410,580,670,780,1080
2025-08-08,op-us8a,onion,250,340,430,520,790
2025-08-08,op-us8a-conflux,onion,230,310,370,450,650
2025-08-09,op-de8a,onion,80,150,200,280,460
2025-08-09,op-de8a-conflux,onion,90,160,200,280,460
2025-08-09,op-hk8a,onion,440,600,680,770,1020
2025-08-09,op-hk8a-conflux,onion,440,580,660,760,1030
2025-08-09,op-us8a,onion,240,320,370,470,680
2025-08-09,op-us8a-conflux,onion,220,310,360,460,680
2025-08-10,op-de8a,onion,70,140,180,250,410
2025-08-10,op-de8a-conflux,onion,80,190,270,360,610
2025-08-10,op-hk8a,onion,430,570,670,750,1020
2025-08-10,op-hk8a-conflux,onion,430,540,620,740,1040
2025-08-10,op-us8a,onion,240,320,360,450,640
2025-08-10,op-us8a-conflux,onion,240,300,350,440,650
2025-08-11,op-de8a,onion,60,150,190,270,450
2025-08-11,op-de8a-conflux,onion,60,210,260,350,560
2025-08-11,op-hk8a,onion,430,570,655,750,1020
2025-08-11,op-hk8a-conflux,onion,440,540,610,710,960
2025-08-11,op-us8a,onion,250,310,350,410,560
2025-08-11,op-us8a-conflux,onion,240,320,370,450,640
2025-08-12,op-de8a,onion,70,150,200,280,470
2025-08-12,op-de8a-conflux,onion,90,200,250,340,550
2025-08-12,op-hk8a,onion,430,580,680,780,1080
2025-08-12,op-hk8a-conflux,onion,420,520,580,660,870
2025-08-12,op-us8a,onion,220,310,340,410,560
2025-08-12,op-us8a-conflux,onion,230,340,400,480,670
2025-08-13,op-de8a,onion,70,160,210,307,520
2025-08-13,op-de8a-conflux,onion,80,180,250,350,600
2025-08-13,op-hk8a,onion,450,580,660,760,1020
2025-08-13,op-hk8a-conflux,onion,440,540,610,710,960
2025-08-13,op-us8a,onion,240,320,360,460,660
2025-08-13,op-us8a-conflux,onion,230,340,400,490,690
2025-08-14,op-de8a,onion,50,140,190,290,510
2025-08-14,op-de8a-conflux,onion,100,200,270,370,610
2025-08-14,op-hk8a,onion,450,570,650,750,1020
2025-08-14,op-hk8a-conflux,onion,440,540,610,700,940
2025-08-14,op-us8a,onion,240,330,360,430,580
2025-08-14,op-us8a-conflux,onion,260,357,420,510,720
2025-08-15,op-de8a,onion,60,140,180,270,460
2025-08-15,op-de8a-conflux,onion,100,190,230,320,500
2025-08-15,op-hk8a,onion,440,560,630,710,930
2025-08-15,op-hk8a-conflux,onion,440,560,620,710,930
2025-08-15,op-us8a,onion,230,320,360,440,620
2025-08-15,op-us8a-conflux,onion,250,350,420,510,750
2025-08-16,op-de8a,onion,60,150,190,280,470
2025-08-16,op-de8a-conflux,onion,100,170,220,310,520
2025-08-16,op-hk8a,onion,410,540,610,690,910
2025-08-16,op-hk8a-conflux,onion,440,520,580,670,890
2025-08-16,op-us8a,onion,220,320,370,440,620
2025-08-16,op-us8a-conflux,onion,230,360,425,500,710
2025-08-17,op-de8a,onion,70,140,180,260,440
2025-08-17,op-de8a-conflux,onion,70,170,220,310,520
2025-08-17,op-hk8a,onion,420,550,630,720,960
2025-08-17,op-hk8a-conflux,onion,450,550,620,720,970
2025-08-17,op-us8a,onion,220,320,370,440,620
2025-08-17,op-us8a-conflux,onion,260,360,440,510,730
2025-08-18,op-de8a,onion,70,140,180,250,410
2025-08-18,op-de8a-conflux,onion,80,160,190,250,380
2025-08-18,op-hk8a,onion,440,550,630,740,1020
2025-08-18,op-hk8a-conflux,onion,420,550,610,710,940
2025-08-18,op-us8a,onion,230,320,370,450,640
2025-08-18,op-us8a-conflux,onion,240,360,440,530,780
2025-08-19,op-de8a,onion,50,150,200,300,520
2025-08-19,op-de8a-conflux,onion,70,160,200,290,480
2025-08-19,op-hk8a,onion,450,580,660,750,1000
2025-08-19,op-hk8a-conflux,onion,440,560,620,700,910
2025-08-19,op-us8a,onion,220,320,380,470,690
2025-08-19,op-us8a-conflux,onion,220,340,390,480,690
2025-08-20,op-de8a,onion,70,160,200,310,530
2025-08-20,op-de8a-conflux,onion,70,160,210,310,530
2025-08-20,op-hk8a,onion,440,580,670,760,1010
2025-08-20,op-hk8a-conflux,onion,460,580,640,730,950
2025-08-20,op-us8a,onion,220,320,380,460,670
2025-08-20,op-us8a-conflux,onion,240,340,390,470,660
2025-08-21,op-de8a,onion,80,150,200,310,540
2025-08-21,op-de8a-conflux,onion,50,150,190,262,430
2025-08-21,op-hk8a,onion,430,570,660,760,1030
2025-08-21,op-hk8a-conflux,onion,430,550,610,700,920
2025-08-21,op-us8a,onion,210,310,350,430,610
2025-08-21,op-us8a-conflux,onion,240,320,370,430,590
2025-08-22,op-de8a,onion,70,140,190,270,460
2025-08-22,op-de8a-conflux,onion,60,150,190,270,450
2025-08-22,op-hk8a,onion,440,560,640,720,960
2025-08-22,op-hk8a-conflux,onion,450,560,620,700,890
2025-08-22,op-us8a,onion,220,330,370,450,630
2025-08-22,op-us8a-conflux,onion,230,330,380,450,630
2025-08-23,op-de8a,onion,70,140,190,290,510
2025-08-23,op-de8a-conflux,onion,80,160,200,270,430
2025-08-23,op-hk8a,onion,430,550,630,730,1000
